instrument_id,designation_type,instrument_kind,authority_name,document_number,published_at,valid_from,valid_to,scope_name,scope_codes,subject_types,property_types,land_use_types,area_thresholds,same_complex_condition,use_obligations,permit_authority,official_url,boundary_attachment_status,verification_status,supersedes_instrument_id,known_gap,source_checked_at
"DSG-OH-2022-1206","SPECULATION_OVERHEATED","RELEASE","국토교통부","국토교통부공고 제2022-1206호","2022-09-26","2022-09-26","","세종특별자치시를 제외한 지방권 투기과열지구","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17593","AVAILABLE_UNCAPTURED","PARTIAL","","정확한 대상 목록·행정구역 코드와 첨부 해시 미확보","2026-07-17"
"DSG-ADJ-2022-1207","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2022-1207호","2022-09-26","2022-09-26","","세종특별자치시를 제외한 지방권 조정대상지역","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17594","AVAILABLE_UNCAPTURED","PARTIAL","","공식 웹 본문 날짜 오기 가능성 때문에 첨부 공고 기준 재검수와 해시 필요","2026-07-17"
"DSG-OH-2022-1407","SPECULATION_OVERHEATED","RELEASE","국토교통부","국토교통부공고 제2022-1407호","2022-11-14","2022-11-14","","서울특별시; 과천시; 성남시 분당구; 하남시; 광명시를 제외한 투기과열지구","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17625","AVAILABLE_UNCAPTURED","PARTIAL","","해제 공고 직접 URL·유지 범위·행정구역 코드와 첨부 해시 재검수 필요","2026-07-17"
"DSG-ADJ-2022-1408","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2022-1408호","2022-11-14","2022-11-14","","서울특별시; 과천시; 성남시; 하남시; 광명시를 제외한 조정대상지역","","","주택","","","","해제","","https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17626","AVAILABLE_UNCAPTURED","PARTIAL","","공고번호·직접 URL은 확인했으나 정확한 해제·유지 scope, 행정구역 코드와 첨부 원문 해시 미확보","2026-07-17"
"DSG-OH-2023-0001","SPECULATION_OVERHEATED","RELEASE","국토교통부","국토교통부공고 제2023-1호","2023-01-05","2023-01-05","","서울 강남구·서초구·송파구·용산구를 제외한 잔여 투기과열지구","","","주택","","","","해제","","https://law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000221690","AVAILABLE_UNCAPTURED","PARTIAL","DSG-OH-2022-1407","국가법령정보센터는 STATUS_INDEX; 발행기관·전자관보 원문, 해제 scope 행정구역 코드와 SHA-256 미확보","2026-07-17"
"DSG-ADJ-2023-0002","ADJUSTMENT_AREA","RELEASE","국토교통부","국토교통부공고 제2023-2호","2023-01-05","2023-01-05","","서울 강남구·서초구·송파구·용산구를 제외한 잔여 조정대상지역","","","주택","","","","해제","","https://law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000221716","AVAILABLE_UNCAPTURED","PARTIAL","DSG-ADJ-2022-1408","국가법령정보센터는 STATUS_INDEX; 발행기관·전자관보 원문, 해제 scope 행정구역 코드와 SHA-256 미확보","2026-07-17"
"DSG-LTP-2025-SEOUL-0319","LAND_TRANSACTION_PERMIT","DESIGNATION","서울특별시","서울특별시 공고 제2025-953호","2025-03-19","2025-03-24","2025-10-01","강남구·서초구·송파구·용산구 공고 대상 동의 아파트 부지 110.65㎢","","토지 소유권·지상권을 이전 또는 설정하려는 거래 당사자","건축법 시행령 별표 1 제2호가목 아파트","주거지역; 상업지역; 공업지역; 녹지지역; 용도 미지정","주거지역 6㎡ 초과; 상업지역 15㎡ 초과; 공업지역 15㎡ 초과; 녹지지역 20㎡ 초과; 용도 미지정 6㎡ 초과","건축물대장상 아파트 여부로 판단","허가받은 목적에 따른 이용 의무","관할 구청장","https://www.gangnam.go.kr/board/B_000046/1075005/view.do?mid=ID05_0410","AVAILABLE_UNCAPTURED","VERIFIED","","공고 본문·지형도 파일의 원문 바이트와 SHA-256, 행정구역 코드 미확보; valid_to는 종료일 exclusive","2026-07-17"
"DSG-LTP-2025-SEOUL-1001","LAND_TRANSACTION_PERMIT","EXTENSION","서울특별시","서울특별시 공고 제2025-2774호","2025-09-25","2025-10-01","2027-01-01","강남구·서초구·송파구·용산구 공고 대상 동의 아파트 부지 142.22㎢","","토지 소유권·지상권을 이전 또는 설정하려는 거래 당사자","건축법 시행령 별표 1 제2호가목 아파트","주거지역; 상업지역; 공업지역; 녹지지역; 용도 미지정","주거지역 6㎡ 초과; 상업지역 15㎡ 초과; 공업지역 15㎡ 초과; 녹지지역 20㎡ 초과; 용도 미지정 6㎡ 초과","건축물대장상 아파트 여부로 판단","허가받은 목적에 따른 이용 의무","관할 구청장","https://land.seoul.go.kr/land/other/appointStatusSeoul.do","TEMPORARY_NOT_RETAINED","VERIFIED","DSG-LTP-2025-SEOUL-0319","서울시 공식 PDF 15쪽을 전수 렌더해 공고번호·재지정 범위·기간·도면을 확인함; 공식 다운로드 fileName=appointStatus_25_18.pdf; 임시 원문 SHA-256 FD9EB2C5BA1560168CD6AE2EE24736101206FE6FBC4D1FAFD251514FFE3C81C8; 권리 승인 전 원문은 보존하지 않음; valid_to는 종료일 exclusive","2026-07-17"
"DSG-LTP-2025-SEOUL-0930-8AREAS","LAND_TRANSACTION_PERMIT","DESIGNATION","서울특별시","서울특별시 공고 제2025-2774호","2025-09-25","2025-09-30","2026-08-31","영등포구 도림동 133-1; 강북구 미아동 159; 도봉구 방학동 638; 동작구 상도동 214·사당동 419-1; 마포구 아현동 331-29; 용산구 용산동2가 1-1351; 구로구 가리봉동 2-92 일대, 합계 446,779.3㎡","","토지 소유권·지상권을 이전 또는 설정하려는 거래 당사자","신속통합기획 주택재개발사업 후보지; 공공재개발사업 후보지","주거지역; 상업지역; 공업지역; 녹지지역; 용도 미지정","주거지역 6㎡ 초과; 상업지역 15㎡ 초과; 공업지역 15㎡ 초과; 녹지지역 20㎡ 초과; 용도 미지정 6㎡ 초과","해당 없음","허가받은 목적에 따른 이용 의무","관할 구청장","https://land.seoul.go.kr/land/other/appointStatusSeoul.do","TEMPORARY_NOT_RETAINED","VERIFIED","","서울시 공식 PDF 2쪽과 붙임2 도면 8쪽을 전수 렌더해 범위·면적·기간·기준을 확인함; 임시 원문 SHA-256 FD9EB2C5BA1560168CD6AE2EE24736101206FE6FBC4D1FAFD251514FFE3C81C8; PNU·행정코드 미정규화, 권리 승인 전 원문 미보존; valid_to는 종료일 exclusive","2026-07-17"
"DSG-LTP-2025-1219","LAND_TRANSACTION_PERMIT","DESIGNATION","국토교통부","국토교통부공고 제2025-1219호","2025-10-15","2025-10-20","2027-01-01","서울특별시 25개 자치구; 경기도 12개 지역","","거래 당사자 조건은 공고 원문 재검수","아파트; 연립주택; 다세대주택","주거지역; 상업지역; 공업지역; 녹지지역; 용도 미지정","주거지역 6㎡ 초과; 상업지역 15㎡ 초과; 공업지역 15㎡ 초과; 녹지지역 20㎡ 초과; 용도 미지정 6㎡ 초과","연립·다세대 동일 단지의 필지 조서 조건 있음","허가받은 목적에 따른 이용 의무","관할 시장·군수·구청장","https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=633894","PARTIAL","PARTIAL","","붙임 지번표·확인도면·GIS·동일 단지 조서와 원문 해시 미확보; valid_to는 종료일 exclusive로 기록","2026-07-17"
"DSG-ADJ-2025-1223","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2025-1223호","2025-10-16","2025-10-16","","신규 지정 서울특별시 성동구·마포구·강동구·영등포구·양천구·동작구·광진구·중구·종로구·서대문구·강서구·노원구·성북구·구로구·동대문구·관악구·은평구·중랑구·금천구·강북구·도봉구; 경기도 과천시·광명시·성남시 분당구·수정구·중원구·수원시 영통구·장안구·팔달구·안양시 동안구·용인시 수지구·의왕시·하남시","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000265026","AVAILABLE_UNCAPTURED","PARTIAL","","강남구·서초구·송파구·용산구는 기존 유지 지역이며 신규 지정에 포함하지 않음; 신규 지정은 2023 해제 수단 전체를 대체하지 않음; 국가법령정보센터는 STATUS_INDEX; 발행기관·전자관보 원문, 행정구역 코드와 SHA-256 미확보","2026-07-17"
"DSG-OH-2025-1225","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2025-1225호","2025-10-16","2025-10-16","","신규 지정 서울특별시 성동구·마포구·강동구·영등포구·양천구·동작구·광진구·중구·종로구·서대문구·강서구·노원구·성북구·구로구·동대문구·관악구·은평구·중랑구·금천구·강북구·도봉구; 경기도 과천시·광명시·성남시 분당구·수정구·중원구·수원시 영통구·장안구·팔달구·안양시 동안구·용인시 수지구·의왕시·하남시","","","주택","","","","분양권 전매 제한 등 관련 법령상 의무","","https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000265028","AVAILABLE_UNCAPTURED","PARTIAL","","강남구·서초구·송파구·용산구는 기존 유지 지역이며 신규 지정에 포함하지 않음; 신규 지정은 2023 해제 수단 전체를 대체하지 않음; 국가법령정보센터는 STATUS_INDEX; 발행기관·전자관보 원문, 행정구역 코드와 SHA-256 미확보","2026-07-17"
"DSG-ADJ-2026-0882","ADJUSTMENT_AREA","DESIGNATION","국토교통부","국토교통부공고 제2026-882호","2026-07-01","2026-07-01","","구리시; 용인시 기흥구; 화성시 동탄구","","","주택","","","","주택법과 관련 규정상 조정대상지역 의무","","https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000281588","AVAILABLE_UNCAPTURED","PARTIAL","","추가 지정은 2025 지정 지역을 대체하지 않고 병존함; 국가법령정보센터는 STATUS_INDEX; 발행기관·전자관보 원문, 세부 행정구역 코드와 SHA-256 미확보","2026-07-17"
"DSG-OH-2026-0883","SPECULATION_OVERHEATED","DESIGNATION","국토교통부","국토교통부공고 제2026-883호","2026-07-01","2026-07-01","","구리시; 용인시 기흥구; 화성시 동탄구","","","주택","","","","분양권 전매 제한 등 관련 법령상 의무","","https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000281590","AVAILABLE_UNCAPTURED","PARTIAL","","추가 지정은 2025 지정 지역을 대체하지 않고 병존함; 국가법령정보센터는 STATUS_INDEX; 발행기관·전자관보 원문, 세부 행정구역 코드와 SHA-256 미확보","2026-07-17"
"DSG-LTP-2026-GG-0705","LAND_TRANSACTION_PERMIT","DESIGNATION","경기도","경기도 공고 제2026-1792호","2026-06-30","2026-07-05","2028-01-01","용인시 기흥구 81.64㎢; 화성시 동탄구 55.52㎢; 구리시 33.34㎢; 합계 170.50㎢","","토지 소유권·지상권을 이전 또는 설정하려는 거래 당사자","건축법 시행령 별표 1의 아파트","주거지역; 상업지역; 공업지역; 녹지지역; 용도 미지정; 도시지역 외 농지·임야·기타 토지","주거지역 6㎡ 초과; 상업지역 15㎡ 초과; 공업지역 15㎡ 초과; 녹지지역 20㎡ 초과; 용도 미지정 6㎡ 초과; 도시지역 외 농지 50㎡ 초과; 임야 100㎡ 초과; 기타 토지 25㎡ 초과","해당 없음","허가 목적에 따른 이용 의무의 기간·세부요건은 법령 별도 확인","관할 시장·구청장","https://www.gg.go.kr/uploads/BOARD/2026/06/20260630095414_NG21sBX5thRF.pdf","TEMPORARY_NOT_RETAINED","PARTIAL","","경기도보 제8034호 40~42쪽에서 공고번호·기간·대상·전체 면적기준·지정도를 확인함; 임시 원문 SHA-256 9145052676AE75F57D24B8C01E8DA4B0A87899C989F630F535369EDEE1C539AC; 권리 승인 전 원문 미보존; 행정구역 코드와 이용의무 세부기간 미정규화; valid_to는 종료일 exclusive","2026-07-17"
"DSG-SPEC-2017-0803-SEOUL-7","SPECULATION_AREA","DESIGNATION","기획재정부","기획재정부공고 제2017-114호","2017-08-03","2017-08-03","2023-01-05","서울특별시 성동구·노원구·마포구·양천구·강서구·영등포구·강동구","","","주택(이에 딸린 토지를 포함)","","","","소득세법 제104조의2 및 같은 법 시행령 제168조의3에 따른 지정지역 효과","","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=00000000000000001501638116160000&tocId=00000000000000001501638232836000&isTocOrder=N","NOT_APPLICABLE","VERIFIED","","행정구역 코드 미정규화; 원문 해시는 captures/manifest.csv 참조","2026-07-17"
"DSG-SPEC-2017-0803-SEOUL-4","SPECULATION_AREA","DESIGNATION","기획재정부","기획재정부공고 제2017-114호","2017-08-03","2017-08-03","","서울특별시 용산구·서초구·강남구·송파구","","","주택(이에 딸린 토지를 포함)","","","","소득세법 제104조의2 및 같은 법 시행령 제168조의3에 따른 지정지역 효과","","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=00000000000000001501638116160000&tocId=00000000000000001501638232836000&isTocOrder=N","NOT_APPLICABLE","VERIFIED","","행정구역 코드 미정규화; valid_to 공란은 조사 기준일 현재 확인된 후속 해제가 없다는 뜻이며 전국 이력 완전성 주장은 아님; 원문 해시는 captures/manifest.csv 참조","2026-07-17"
"DSG-SPEC-2017-0803-SEJONG","SPECULATION_AREA","DESIGNATION","기획재정부","기획재정부공고 제2017-114호","2017-08-03","2017-08-03","2022-09-26","세종특별자치시(행정중심복합도시 건설 예정지역)","","","주택(이에 딸린 토지를 포함)","","","","소득세법 제104조의2 및 같은 법 시행령 제168조의3에 따른 지정지역 효과","","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=00000000000000001501638116160000&tocId=00000000000000001501638232836000&isTocOrder=N","NOT_APPLICABLE","VERIFIED","","행정구역 코드 및 행정중심복합도시 건설 예정지역 경계 미정규화; 원문 해시는 captures/manifest.csv 참조","2026-07-17"
"DSG-SPEC-2018-0828-SEOUL-4","SPECULATION_AREA","DESIGNATION","기획재정부","기획재정부공고 제2018-151호","2018-08-28","2018-08-28","2023-01-05","서울특별시 종로구·중구·동대문구·동작구","","","주택(이에 딸린 토지를 포함)","","","","소득세법 제104조의2 및 같은 법 시행령 제168조의3에 따른 지정지역 효과","","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=00000000000000001535332738366000&tocId=00000000000000001535332746184000&isTocOrder=N","NOT_APPLICABLE","VERIFIED","","행정구역 코드 미정규화; 원문 해시는 captures/manifest.csv 참조","2026-07-17"
